,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Korem,100,ET,1561607938,42,12.51,39.52,66.29,5.03
1,Mataura,9,NZ,1561607938,85,-46.19,168.86,52.0,1.99
2,Pruszkow,40,PL,1561607938,78,52.17,20.81,77.0,5.82
3,Kapaa,75,US,1561607938,78,22.08,-159.32,80.6,11.41
4,Chuy,4,UY,1561607939,81,-33.69,-53.46,44.69,9.71
5,Waipawa,0,NZ,1561608363,88,-39.94,176.59,44.01,2.86
6,Georgetown,20,GY,1561608263,94,6.8,-58.16,75.2,4.7
7,Dunedin,0,NZ,1561608364,68,-45.87,170.5,53.51,7.07
8,Alofi,75,NU,1561608364,73,-19.06,-169.92,77.0,13.87
9,Smolensk,100,RU,1561608364,98,54.79,32.05,65.03,6.2
10,Ushuaia,90,AR,1561608210,92,-54.81,-68.31,28.4,18.34
11,Jalu,0,LY,1561608364,56,29.03,21.55,79.25,9.84
12,Saint-Ambroise,40,CA,1561608365,93,48.56,-71.32,66.99,13.87
13,Faanui,0,PF,1561608365,69,-16.48,-151.75,80.69,2.39
14,Oranjestad,20,AW,1561608355,78,12.52,-70.03,80.6,18.34
15,Katobu,1,ID,1561608365,57,-4.94,122.53,84.83,7.23
16,Tuatapere,77,NZ,1561608365,85,-46.13,167.69,52.0,1.01
17,Riyadh,0,SA,1561608366,12,24.63,46.72,82.4,4.7
18,Yellowknife,75,CA,1561608362,81,62.45,-114.38,51.8,17.22
19,Lazaro Cardenas,75,MX,1561608366,20,28.39,-105.62,84.99,8.05
20,Tiksi,0,RU,1561608366,33,71.64,128.87,72.77,12.71
21,Busselton,30,AU,1561608366,41,-33.64,115.35,60.01,29.59
22,Hilo,90,US,1561608294,65,19.71,-155.08,82.4,13.87
23,Katsuura,90,JP,1561608367,94,33.93,134.5,77.0,21.92
24,Nioro,67,GM,1561608367,63,13.79,-15.05,78.53,10.16
25,Hermanus,0,ZA,1561608367,98,-34.42,19.24,52.0,3.0
26,Tasiilaq,100,GL,1561608367,87,65.61,-37.64,42.8,2.24
27,Upington,0,ZA,1561608368,55,-28.46,21.24,39.2,4.7
